"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
**Test Scenario:**  
Attempt to log in using empty credentials  
Username:
Password: 

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","13456","TC007- Login with Empty Credentials","Xeed_Login_Page","Fri Jun 06 17:17:24 IST 2025","failed","Fri Jun 06 17:17:37 IST 2025","","Test_TC007","",""
"
**Test Scenario:**  
Attempt to log in using an invalid username  
Username: Ohitr  
Password: Erp@123

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","12878","TC002 - Login with Invalid Username","Xeed_Login_Page","Fri Jun 06 16:22:56 IST 2025","failed","Fri Jun 06 16:23:09 IST 2025","","Test_TC002","",""
"
**Test Type**  
Functional and cross-browser testing

**Test Scenario**  
Reset the password using the 'Forgot Password' functionality, and then attempt to log in with the newly set password.

**Expected Result**  
The user should be able to log in successfully with the new password created via the 'Forgot Password' feature.

**How it is evaluated**  
After resetting the password, the test will attempt to log in with the updated credentials. Success is confirmed by checking whether the user is redirected to the dashboard URL.

**Test will pass if**  
The system accepts the new password and successfully redirects the user to the dashboard.
","4664","TC008 - Verify Forgot Password Functionality","Xeed_Login_Page","Mon Jun 16 18:57:30 IST 2025","passed","Mon Jun 16 18:57:35 IST 2025","","Test_TC008","",""
"
**Test Scenario:**  
Attempt to log in using a valid credentials
Username: Rohit  
Password: Erp@123

**Expected Result:**  
User should be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","12427","TC001 - Login with Valid Credentials","Xeed_Login_Page","Fri Jun 06 16:22:17 IST 2025","passed","Fri Jun 06 16:22:29 IST 2025","","Test_TC001","",""
"
**Test Scenario:**  
Attempt to log in using empty username  
Username: 
Password: Erp@123

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","13152","TC005 - Login with Empty Username","Xeed_Login_Page","Fri Jun 06 16:26:49 IST 2025","failed","Fri Jun 06 16:27:02 IST 2025","","Test_TC005","",""
"
**Test Type**
Funtional and cross browser

**Test Scenario**
New password is created using forgot password but still try to login using old password to check whether old password is still in place or not

**Expected Result**
Shouldn't be able to login using old password

**How it is evaluated**
'Login failed: Invalid credentials' will be displayed
","4257","TC009 - Logging in using old password after creating new password","Xeed_Login_Page","Mon Jun 16 18:39:17 IST 2025","passed","Mon Jun 16 18:39:21 IST 2025","","Test_TC009","",""
"
**Test Scenario**
Verify that the 'Submit' button in the Forgot Password pop-up is not visible or enabled when required fields are left empty.

**Expected Result**
Submit button should NOT be visible or should NOT be enabled if form is incomplete.

**Test Passes When**
Submit button is either not displayed OR is displayed but disabled.
","2335","TC012 - Checking visibility and enablement of Submit button with unfilled fields","Xeed_Login_Page","Mon Jun 16 18:26:43 IST 2025","passed","Mon Jun 16 18:26:46 IST 2025","","Test_TC012","",""
"
**Test Scenario**
Verify that the 'Submit' button in the Forgot Password pop-up is not visible or enabled when required fields are left empty.

**Expected Result**
Submit button should NOT be visible or should NOT be enabled if form is incomplete.

**Test Passes When**
Submit button is either not displayed OR is displayed but disabled.
","2085","TC012 - Checking visibility and enablement of Submit button with unfilled fields","Xeed_Login_Page","Mon Jun 16 18:27:02 IST 2025","passed","Mon Jun 16 18:27:04 IST 2025","","Test_TC012","",""
"
**Test Scenario:**  
Attempt to log in using an invalid credentials  
Username: Ohitr
Password: 9902@KM

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","11943","TC004 - Login with Invalid Credentials","Xeed_Login_Page","Fri Jun 06 16:25:14 IST 2025","failed","Fri Jun 06 16:25:26 IST 2025","","Test_TC004","",""
"
**Test Scenario:**  
Attempt to log in using an invalid username  
Username: Ohitr  
Password: Erp@123

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","12540","TC002 - Login with Invalid Username","Xeed_Login_Page","Fri Jun 06 16:23:46 IST 2025","failed","Fri Jun 06 16:23:59 IST 2025","","Test_TC002","",""
"
**Test Type**
Funtional and cross browser

**Test Scenario**
Will try to change password using invalid email

**Expected Result**
Shouldn't be able to change the password

**How it is evaluated**
Will check 'Password Reset Failed' text displayed on the screen or not

**Test will fail if the functionality is working properly**
","4305","TC009 - Try to change the password using invalid email","Xeed_Login_Page","Mon Jun 16 17:06:45 IST 2025","passed","Mon Jun 16 17:06:49 IST 2025","","Test_TC010","",""
"
**Test Type**
Funtional and cross-browser

**Test Scenario**
Validate the 'Password do not match' text displayed when different passwords are entered in new password and confirm password fields.

**How it is evaluated**
Will check 'Password do not match' text displayed on the screen or not

**Test will pass if it is evaluated**
","3212","TC009 - Validating 'Passwords do not match' Text for different passwords","Xeed_Login_Page","Mon Jun 16 17:39:32 IST 2025","passed","Mon Jun 16 17:39:35 IST 2025","","Test_TC011","",""
"
**Test Type**  
Functional and cross-browser testing

**Test Scenario**  
Reset the password using the 'Forgot Password' functionality, and then attempt to log in with the newly set password.

**Expected Result**  
The user should be able to log in successfully with the new password created via the 'Forgot Password' feature.

**How it is evaluated**  
After resetting the password, the test will attempt to log in with the updated credentials. Success is confirmed by checking whether the user is redirected to the dashboard URL.

**Test will pass if**  
The system accepts the new password and successfully redirects the user to the dashboard.
","0","TC008 - Verify Forgot Password Functionality","","Mon Jun 16 18:48:51 IST 2025","skipped","Mon Jun 16 18:48:51 IST 2025","","","",""
"
**Test Type**
Funtional and cross browser

**Test Scenario**
Will try to change password using invalid email

**Expected Result**
Shouldn't be able to change the password

**How it is evaluated**
Will check 'Password Reset Failed' text displayed on the screen or not

**Test will fail if the functionality is working properly**
","4846","TC009 - Try to change the password using invalid email","Xeed_Login_Page","Mon Jun 16 17:07:05 IST 2025","passed","Mon Jun 16 17:07:10 IST 2025","","Test_TC010","",""
"
**Test Scenario:**  
Attempt to log in using a valid credentials
Username: Rohit  
Password: Erp@123

**Expected Result:**  
User should be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","12156","TC001 - Login with Valid Credentials","Xeed_Login_Page","Fri Jun 06 16:22:37 IST 2025","passed","Fri Jun 06 16:22:50 IST 2025","","Test_TC001","",""
"
**Test Scenario:**  
Attempt to log in using an invalid username  
Username: Ohitr  
Password: Erp@123

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","12711","TC002 - Login with Invalid Username","Xeed_Login_Page","Fri Jun 06 16:23:22 IST 2025","failed","Fri Jun 06 16:23:35 IST 2025","","Test_TC002","",""
"
**Test Scenario:**  
Attempt to log in using an invalid password  
Username: Rohit  
Password: 9902@KM

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","12700","TC003 - Login with Invalid Password","Xeed_Login_Page","Fri Jun 06 16:24:33 IST 2025","failed","Fri Jun 06 16:24:46 IST 2025","","Test_TC003","",""
"
**Test Scenario:**  
Attempt to log in using empty credentials  
Username:
Password: 

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","14550","TC007- Login with Empty Credentials","Xeed_Login_Page","Fri Jun 06 17:16:55 IST 2025","failed","Fri Jun 06 17:17:09 IST 2025","","Test_TC007","",""
"
**Test Scenario:**  
Attempt to log in using empty password  
Username: Rohit 
Password: 

**Expected Result:**  
User should not be able to log in.

**How it is evaluated:**  
This is verified by checking the URL change; if the login is successful, the URL changes to `/dashboard`.
","12903","TC006- Login with Empty Password","Xeed_Login_Page","Fri Jun 06 16:27:29 IST 2025","failed","Fri Jun 06 16:27:41 IST 2025","","Test_TC006","",""
